insert into hack.cls_eu_timeid, descritpion values(100;"From 20:30 to 20:39");
insert into hack.cls_eu_timeid, descritpion values(101;"From 20:40 to 20:49");
insert into hack.cls_eu_timeid, descritpion values(102;"From 20:50 to 20:59");
insert into hack.cls_eu_timeid, descritpion values(103;"From 21:00 to 21:09");
insert into hack.cls_eu_timeid, descritpion values(104;"From 21:10 to 21:19");
insert into hack.cls_eu_timeid, descritpion values(105;"From 21:20 to 21:29");
insert into hack.cls_eu_timeid, descritpion values(106;"From 21:30 to 21:39");
insert into hack.cls_eu_timeid, descritpion values(107;"From 21:40 to 21:49");
insert into hack.cls_eu_timeid, descritpion values(108;"From 21:50 to 21:59");
insert into hack.cls_eu_timeid, descritpion values(109;"From 22:00 to 22:09");
insert into hack.cls_eu_timeid, descritpion values(110;"From 22:10 to 22:19");
insert into hack.cls_eu_timeid, descritpion values(111;"From 22:20 to 22:29");
insert into hack.cls_eu_timeid, descritpion values(112;"From 22:30 to 22:39");
insert into hack.cls_eu_timeid, descritpion values(113;"From 22:40 to 22:49");
insert into hack.cls_eu_timeid, descritpion values(114;"From 22:50 to 22:59");
insert into hack.cls_eu_timeid, descritpion values(115;"From 23:00 to 23:09");
insert into hack.cls_eu_timeid, descritpion values(116;"From 23:10 to 23:19");
insert into hack.cls_eu_timeid, descritpion values(117;"From 23:20 to 23:29");
insert into hack.cls_eu_timeid, descritpion values(118;"From 23:30 to 23:39");
insert into hack.cls_eu_timeid, descritpion values(119;"From 23:40 to 23:49");
insert into hack.cls_eu_timeid, descritpion values(120;"From 23:50 to 23:59");
insert into hack.cls_eu_timeid, descritpion values(121;"From 00:00 to 00:09");
insert into hack.cls_eu_timeid, descritpion values(122;"From 00:10 to 00:19");
insert into hack.cls_eu_timeid, descritpion values(123;"From 00:20 to 00:29");
insert into hack.cls_eu_timeid, descritpion values(124;"From 00:30 to 00:39");
insert into hack.cls_eu_timeid, descritpion values(123;"From 00:40 to 00:49");
insert into hack.cls_eu_timeid, descritpion values(124;"From 00:50 to 00:59");
insert into hack.cls_eu_timeid, descritpion values(125;"From 01:00 to 01:09");
insert into hack.cls_eu_timeid, descritpion values(126;"From 01:10 to 01:19");
insert into hack.cls_eu_timeid, descritpion values(127;"From 01:20 to 01:29");
insert into hack.cls_eu_timeid, descritpion values(128;"From 01:30 to 01:39");
insert into hack.cls_eu_timeid, descritpion values(129;"From 01:40 to 01:49");
insert into hack.cls_eu_timeid, descritpion values(130;"From 01:50 to 01:59");
insert into hack.cls_eu_timeid, descritpion values(131;"From 02:00 to 02:09");
insert into hack.cls_eu_timeid, descritpion values(132;"From 02:10 to 02:19");
insert into hack.cls_eu_timeid, descritpion values(133;"From 02:20 to 02:29");
insert into hack.cls_eu_timeid, descritpion values(134;"From 02:30 to 02:39");
insert into hack.cls_eu_timeid, descritpion values(135;"From 02:40 to 02:49");
insert into hack.cls_eu_timeid, descritpion values(136;"From 02:50 to 02:59");
insert into hack.cls_eu_timeid, descritpion values(137;"From 03:00 to 03:09");
insert into hack.cls_eu_timeid, descritpion values(138;"From 03:10 to 03:19");
insert into hack.cls_eu_timeid, descritpion values(139;"From 03:20 to 03:29");
insert into hack.cls_eu_timeid, descritpion values(140;"From 03:30 to 03:39");
insert into hack.cls_eu_timeid, descritpion values(141;"From 03:40 to 03:49");
insert into hack.cls_eu_timeid, descritpion values(142;"From 03:50 to 03:59");
