userid;utc_timestamp;utc_offset;geohash;counts;steps;biking;downstairs;jogging;sitting;standing;upstairs;walking
819;26-Jan-2019 18:50:00;+01:00;u2j70y;412;0;0;0;0;600;0;0;0
819;26-Jan-2019 19:00:00;+01:00;u2j70y;845;0;0;0;0;600;0;0;0
819;26-Jan-2019 19:10:00;+01:00;u2j70y;412;0;0;0;0;600;0;0;0
819;26-Jan-2019 19:20:00;+01:00;u2j70y;451;0;0;0;0;600;0;0;0
819;26-Jan-2019 19:30:00;+01:00;u2j70w;118;0;0;0;0;172;0;0;0
819;26-Jan-2019 20:20:00;+01:00;u2j70w;661;0;0;0;0;283;0;0;0
819;26-Jan-2019 22:10:00;+01:00;u2j70y;730;0;0;0;0;415;0;0;0
819;26-Jan-2019 22:20:00;+01:00;u2j70y;122;0;0;0;0;166;0;0;0
819;27-Jan-2019 02:10:00;+01:00;u2j70w;818;0;0;0;0;526;0;0;0
819;27-Jan-2019 02:20:00;+01:00;u2j70w;64;0;0;0;0;83;0;0;0
819;27-Jan-2019 08:10:00;+01:00;u2j70y;495;0;0;0;0;61;0;0;0
819;27-Jan-2019 08:20:00;+01:00;u2j70w;467;0;0;0;0;573;0;0;0
819;27-Jan-2019 14:20:00;+01:00;u2j70w;580;0;0;0;0;196;0;0;0
819;27-Jan-2019 14:30:00;+01:00;u2j70w;318;0;0;0;0;408;0;0;0
819;27-Jan-2019 20:20:00;+01:00;u2j70w;575;0;0;0;0;200;0;0;0
819;27-Jan-2019 20:30:00;+01:00;u2j70w;301;0;0;0;0;386;0;0;0
819;28-Jan-2019 02:30:00;+01:00;u2j70w;543;0;0;0;0;212;0;0;0
819;28-Jan-2019 02:40:00;+01:00;u2j70w;174;0;0;0;0;397;0;0;0
819;28-Jan-2019 06:20:00;+01:00;u2j70w;668;5;0;0;0;289;0;0;0
819;28-Jan-2019 06:30:00;+01:00;u2j70t;5308;67;41;6;0;553;0;0;0
819;28-Jan-2019 06:40:00;+01:00;u2j70y;1059;0;0;0;0;600;0;0;0
819;28-Jan-2019 06:50:00;+01:00;u2j71j;15600;213;18;28;0;463;13;0;78
819;28-Jan-2019 07:00:00;+01:00;u2j71j;17702;226;16;116;0;431;4;0;33
819;28-Jan-2019 07:10:00;+01:00;u2j71j;217;0;0;0;0;600;0;0;0
819;28-Jan-2019 07:20:00;+01:00;u2j71j;325;0;0;0;0;600;0;0;0
819;28-Jan-2019 07:30:00;+01:00;u2j71j;352;0;0;0;0;570;0;0;0
819;28-Jan-2019 07:40:00;+01:00;u2j71j;679;0;0;0;0;325;0;0;0
819;28-Jan-2019 07:50:00;+01:00;u2j71j;267;0;0;0;0;600;0;0;0
819;28-Jan-2019 08:00:00;+01:00;u2j71j;280;0;0;0;0;600;0;0;0
819;28-Jan-2019 08:10:00;+01:00;u2j71j;281;0;0;0;0;600;0;0;0
819;28-Jan-2019 08:20:00;+01:00;u2j71j;153;0;0;0;0;347;0;0;0
819;28-Jan-2019 09:10:00;+01:00;u2j71j;580;0;0;0;0;314;0;0;0
819;28-Jan-2019 10:00:00;+01:00;u2j71j;6929;82;10;2;0;137;14;0;52
819;28-Jan-2019 10:10:00;+01:00;u2j71j;9657;148;55;55;0;446;4;1;39
819;28-Jan-2019 10:20:00;+01:00;u2j71j;272;0;0;0;0;600;0;0;0
819;28-Jan-2019 10:30:00;+01:00;u2j71j;540;0;0;0;0;600;0;0;0
819;28-Jan-2019 10:40:00;+01:00;u2j71j;272;0;0;0;0;396;0;0;0
819;28-Jan-2019 11:30:00;+01:00;u2j71j;4214;65;19;37;0;134;0;0;0
819;28-Jan-2019 11:40:00;+01:00;u2j71j;8395;123;17;42;0;510;3;2;26
819;28-Jan-2019 11:50:00;+01:00;u2j71j;258;0;0;0;0;600;0;0;0
819;28-Jan-2019 12:00:00;+01:00;u2j71j;277;0;0;0;0;600;0;0;0
819;28-Jan-2019 12:10:00;+01:00;u2j71j;2674;38;19;0;0;557;2;0;22
819;28-Jan-2019 12:20:00;+01:00;u2j71j;39880;646;19;214;0;182;6;0;99
819;28-Jan-2019 12:30:00;+01:00;u2j71j;38718;554;51;250;0;257;24;0;18
819;28-Jan-2019 12:40:00;+01:00;u2j71j;3433;41;0;20;0;559;21;0;0
819;28-Jan-2019 12:50:00;+01:00;u2j71j;5431;79;17;1;0;552;3;2;25
819;28-Jan-2019 13:00:00;+01:00;u2j71j;372;0;0;0;0;600;0;0;0
819;28-Jan-2019 13:10:00;+01:00;u2j71j;418;0;0;0;0;600;0;0;0
819;28-Jan-2019 13:20:00;+01:00;u2j71j;7358;152;45;20;0;473;22;0;40
819;28-Jan-2019 13:30:00;+01:00;u2j70y;4988;25;0;16;0;584;0;0;0
819;28-Jan-2019 13:40:00;+01:00;u2j70y;5514;108;99;0;0;501;0;0;0
819;28-Jan-2019 13:50:00;+01:00;u2j70w;2142;20;13;0;0;587;0;0;0
819;28-Jan-2019 14:00:00;+01:00;u2j70w;2143;24;15;0;0;585;0;0;0
819;28-Jan-2019 14:10:00;+01:00;u2j70w;2725;19;45;0;0;555;0;0;0
819;28-Jan-2019 14:20:00;+01:00;u2j70w;327;0;0;0;0;600;0;0;0
819;28-Jan-2019 14:30:00;+01:00;u2j70w;3050;61;56;0;0;544;0;0;0
819;28-Jan-2019 14:40:00;+01:00;u2j70w;386;0;0;0;0;600;0;0;0
819;28-Jan-2019 14:50:00;+01:00;u2j70w;695;2;0;0;0;580;20;0;0
819;28-Jan-2019 15:00:00;+01:00;u2j70t;958;1;0;0;0;579;21;0;0
819;28-Jan-2019 15:10:00;+01:00;u2j70y;1523;23;19;0;0;581;0;0;0
819;28-Jan-2019 15:20:00;+01:00;u2j70w;3931;60;29;0;0;557;14;0;0
819;28-Jan-2019 15:30:00;+01:00;u2j71j;17574;341;47;84;0;378;0;0;91
819;28-Jan-2019 15:40:00;+01:00;u2j71n;7434;72;19;23;0;517;41;0;0
819;28-Jan-2019 15:50:00;+01:00;u2j71n;524;0;0;0;0;600;0;0;0
819;28-Jan-2019 16:00:00;+01:00;u2j71n;357;6;0;20;0;580;0;0;0
819;28-Jan-2019 16:10:00;+01:00;u2j71n;1709;4;0;0;0;568;32;0;0
819;28-Jan-2019 16:20:00;+01:00;u2j71n;600;0;0;0;0;561;0;0;0
819;28-Jan-2019 16:30:00;+01:00;u2j71n;1280;1;0;0;0;588;12;0;0
819;28-Jan-2019 16:40:00;+01:00;u2j71n;474;0;0;0;0;600;0;0;0
819;28-Jan-2019 16:50:00;+01:00;u2j71n;519;0;0;0;0;580;20;0;0
819;28-Jan-2019 17:00:00;+01:00;u2j71n;600;0;0;0;0;600;0;0;0
819;28-Jan-2019 17:10:00;+01:00;u2j71n;808;5;0;0;0;580;20;0;0
819;28-Jan-2019 17:20:00;+01:00;u2j71n;529;0;0;0;0;600;0;0;0
819;28-Jan-2019 17:30:00;+01:00;u2j71n;512;0;0;0;0;600;0;0;0
819;28-Jan-2019 17:40:00;+01:00;u2j71n;552;0;0;0;0;600;0;0;0
819;28-Jan-2019 17:50:00;+01:00;u2j71n;507;0;0;0;0;580;20;0;0
819;28-Jan-2019 18:00:00;+01:00;u2j71n;1044;3;0;0;0;580;20;0;0
819;28-Jan-2019 18:10:00;+01:00;u2j71n;738;0;0;0;0;600;0;0;0
819;28-Jan-2019 18:20:00;+01:00;u2j71n;549;0;0;0;0;600;0;0;0
819;28-Jan-2019 18:30:00;+01:00;u2j71n;642;0;0;0;0;600;0;0;0
819;28-Jan-2019 18:40:00;+01:00;u2j71n;567;0;0;0;0;580;20;0;0
819;28-Jan-2019 18:50:00;+01:00;u2j71n;567;0;0;0;0;580;20;0;0
819;28-Jan-2019 19:00:00;+01:00;u2j71j;653;0;0;0;0;600;0;0;0
819;28-Jan-2019 19:10:00;+01:00;u2j71n;641;0;0;0;0;580;20;0;0
819;28-Jan-2019 19:20:00;+01:00;u2j71j;772;0;0;0;0;544;56;0;0
819;28-Jan-2019 19:30:00;+01:00;u2j71j;695;0;0;0;0;596;4;0;0
819;28-Jan-2019 19:40:00;+01:00;u2j71n;463;0;0;0;0;600;0;0;0
819;28-Jan-2019 19:50:00;+01:00;u2j71n;15168;298;44;128;0;408;20;0;0
819;28-Jan-2019 20:00:00;+01:00;u2j71j;15970;178;38;79;0;468;15;0;0
819;28-Jan-2019 20:10:00;+01:00;u2j70w;444;0;0;0;0;600;0;0;0
819;28-Jan-2019 20:20:00;+01:00;u2j70w;244;0;0;0;0;563;0;0;0
819;28-Jan-2019 20:30:00;+01:00;u2j70w;699;0;0;0;0;600;0;0;0
819;28-Jan-2019 20:40:00;+01:00;u2j70t;216;0;0;0;0;502;0;0;0
819;28-Jan-2019 21:10:00;+01:00;u2j70w;1310;11;0;0;0;423;0;0;0
819;28-Jan-2019 21:20:00;+01:00;u2j70w;369;0;0;0;0;600;0;0;0
819;28-Jan-2019 21:30:00;+01:00;u2j70w;399;0;0;0;0;600;0;0;0
819;28-Jan-2019 21:40:00;+01:00;u2j70t;524;3;0;0;0;580;20;0;0
819;28-Jan-2019 21:50:00;+01:00;u2j70t;403;0;0;0;0;600;0;0;0
819;28-Jan-2019 22:00:00;+01:00;u2j70t;405;0;0;0;0;600;0;0;0
819;28-Jan-2019 22:10:00;+01:00;u2j70w;401;0;0;0;0;600;0;0;0
819;28-Jan-2019 22:20:00;+01:00;u2j70w;412;0;0;0;0;600;0;0;0
819;28-Jan-2019 22:30:00;+01:00;u2j70w;404;0;0;0;0;600;0;0;0
819;28-Jan-2019 22:40:00;+01:00;u2j70w;255;0;0;0;0;356;0;0;0
819;28-Jan-2019 23:40:00;+01:00;u2j70t;650;0;0;0;0;281;0;0;0
819;29-Jan-2019 00:30:00;+01:00;u2j70w;695;0;0;0;0;34;0;0;0
819;29-Jan-2019 00:40:00;+01:00;u2j70t;579;4;0;0;0;600;0;0;0
819;29-Jan-2019 00:50:00;+01:00;u2j70w;414;0;0;0;0;600;0;0;0
819;29-Jan-2019 01:00:00;+01:00;u2j70w;407;0;0;0;0;600;0;0;0
819;29-Jan-2019 01:10:00;+01:00;u2j70w;409;0;0;0;0;600;0;0;0
819;29-Jan-2019 01:20:00;+01:00;u2j70w;409;0;0;0;0;600;0;0;0
819;29-Jan-2019 01:30:00;+01:00;u2j70t;409;0;0;0;0;600;0;0;0
819;29-Jan-2019 01:40:00;+01:00;u2j70t;718;0;0;0;0;586;14;0;0
819;29-Jan-2019 01:50:00;+01:00;u2j70w;405;0;0;0;0;600;0;0;0
819;29-Jan-2019 02:00:00;+01:00;u2j70t;898;3;0;0;0;569;31;0;0
819;29-Jan-2019 02:10:00;+01:00;u2j70y;447;0;0;0;0;588;12;0;0
819;29-Jan-2019 02:20:00;+01:00;u2j70y;398;0;0;0;0;600;0;0;0
819;29-Jan-2019 02:30:00;+01:00;u2j70y;406;0;0;0;0;600;0;0;0
819;29-Jan-2019 02:40:00;+01:00;u2j70y;402;0;0;0;0;600;0;0;0
819;29-Jan-2019 02:50:00;+01:00;u2j70y;408;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:00:00;+01:00;u2j70w;457;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:10:00;+01:00;u2j70y;395;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:20:00;+01:00;u2j70w;410;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:30:00;+01:00;u2j70t;411;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:40:00;+01:00;u2j70w;411;0;0;0;0;600;0;0;0
819;29-Jan-2019 03:50:00;+01:00;u2j70t;396;0;0;0;0;600;0;0;0
819;29-Jan-2019 04:00:00;+01:00;u2j70t;396;0;0;0;0;600;0;0;0
819;29-Jan-2019 04:10:00;+01:00;u2j70y;405;0;0;0;0;600;0;0;0
819;29-Jan-2019 04:20:00;+01:00;u2j70y;406;0;0;0;0;600;0;0;0
819;29-Jan-2019 04:30:00;+01:00;u2j70y;855;0;0;0;0;580;0;0;0
819;29-Jan-2019 04:40:00;+01:00;u2j70y;404;0;0;0;0;600;0;0;0
819;29-Jan-2019 04:50:00;+01:00;u2j70w;400;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:00:00;+01:00;u2j70w;407;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:10:00;+01:00;u2j70t;407;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:20:00;+01:00;u2j70y;404;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:30:00;+01:00;u2j70y;411;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:40:00;+01:00;u2j70y;391;0;0;0;0;600;0;0;0
819;29-Jan-2019 05:50:00;+01:00;u2j70y;741;0;18;0;0;582;0;0;0
819;29-Jan-2019 06:00:00;+01:00;u2j70y;1558;6;17;0;0;567;16;0;0
819;29-Jan-2019 06:10:00;+01:00;u2j70y;515;0;0;0;0;600;0;0;0
819;29-Jan-2019 06:20:00;+01:00;u2j70w;1715;21;19;0;0;581;0;0;0
819;29-Jan-2019 06:30:00;+01:00;u2j70w;4900;82;65;9;0;520;6;0;0
819;29-Jan-2019 06:40:00;+01:00;u2j70y;4225;41;22;12;0;566;0;0;0
819;29-Jan-2019 06:50:00;+01:00;u2j70w;1690;25;17;9;0;574;0;0;0
819;29-Jan-2019 07:00:00;+01:00;u2j70q;11680;247;164;0;0;436;0;0;0
819;29-Jan-2019 07:10:00;+01:00;u2j70q;1954;21;38;0;0;542;20;0;0
819;29-Jan-2019 07:20:00;+01:00;u2j70q;444;0;0;0;0;600;0;0;0
819;29-Jan-2019 07:30:00;+01:00;u2j70q;811;2;17;0;0;583;0;0;0
819;29-Jan-2019 07:40:00;+01:00;u2j70q;966;2;0;0;0;600;0;0;0
819;29-Jan-2019 07:50:00;+01:00;u2j70q;1564;21;0;0;0;600;0;0;0
819;29-Jan-2019 08:00:00;+01:00;u2j70q;3488;53;0;34;0;559;7;0;0
819;29-Jan-2019 08:10:00;+01:00;u2j70q;17498;367;132;127;0;326;1;0;14
819;29-Jan-2019 08:20:00;+01:00;u2j70t;6907;126;82;3;0;515;0;0;0
819;29-Jan-2019 08:30:00;+01:00;u2j70t;2581;37;17;0;0;563;0;0;0
819;29-Jan-2019 08:40:00;+01:00;u2j70y;300;0;0;0;0;600;0;0;0
819;29-Jan-2019 08:50:00;+01:00;u2j70w;288;0;0;0;0;600;0;0;0
819;29-Jan-2019 09:00:00;+01:00;u2j70y;189;0;0;0;0;383;0;0;0
819;29-Jan-2019 09:30:00;+01:00;u2j70w;596;10;0;0;0;38;0;0;0
819;29-Jan-2019 09:40:00;+01:00;u2j70w;2310;23;34;0;0;566;0;0;0
819;29-Jan-2019 09:50:00;+01:00;u2j70w;362;0;0;0;0;600;0;0;0
819;29-Jan-2019 10:00:00;+01:00;u2j70w;448;0;0;0;0;600;0;0;0
819;29-Jan-2019 10:10:00;+01:00;u2j70w;1756;15;19;0;0;571;10;0;0
819;29-Jan-2019 10:20:00;+01:00;u2j70w;1012;4;0;0;0;569;31;0;0
819;29-Jan-2019 10:30:00;+01:00;u2j70w;1136;7;18;0;0;582;0;0;0
819;29-Jan-2019 10:40:00;+01:00;u2j70w;3032;52;10;0;0;573;17;0;0
819;29-Jan-2019 10:50:00;+01:00;u2j70w;2584;37;43;0;0;542;15;0;0
819;29-Jan-2019 11:00:00;+01:00;u2j70w;419;0;0;0;0;600;0;0;0
819;29-Jan-2019 11:10:00;+01:00;u2j70w;439;0;0;0;0;600;0;0;0
819;29-Jan-2019 11:20:00;+01:00;u2j70w;813;1;0;0;0;589;11;0;0
819;29-Jan-2019 11:30:00;+01:00;u2j70w;402;0;0;0;0;600;0;0;0
819;29-Jan-2019 11:40:00;+01:00;u2j70w;425;0;0;0;0;600;0;0;0
819;29-Jan-2019 11:50:00;+01:00;u2j70w;411;0;0;0;0;600;0;0;0
819;29-Jan-2019 12:00:00;+01:00;u2j70w;3856;49;61;0;0;539;0;0;0
819;29-Jan-2019 12:10:00;+01:00;u2j70w;4654;73;27;0;0;573;0;0;0
819;29-Jan-2019 12:20:00;+01:00;u2j70w;372;0;0;0;0;600;0;0;0
819;29-Jan-2019 12:30:00;+01:00;u2j70w;405;0;0;0;0;600;0;0;0
819;29-Jan-2019 12:40:00;+01:00;u2j70w;419;0;0;0;0;600;0;0;0
819;29-Jan-2019 12:50:00;+01:00;u2j70w;415;0;0;0;0;600;0;0;0
819;29-Jan-2019 13:00:00;+01:00;u2j70w;402;0;0;0;0;600;0;0;0
819;29-Jan-2019 13:10:00;+01:00;u2j70w;417;0;0;0;0;600;0;0;0
819;29-Jan-2019 13:20:00;+01:00;u2j70w;408;0;0;0;0;600;0;0;0
819;29-Jan-2019 13:30:00;+01:00;u2j70w;856;0;0;0;0;579;0;0;0
819;29-Jan-2019 13:40:00;+01:00;u2j70w;460;0;0;0;0;600;0;0;0
819;29-Jan-2019 13:50:00;+01:00;u2j70w;418;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:00:00;+01:00;u2j70w;412;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:10:00;+01:00;u2j70w;413;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:20:00;+01:00;u2j70w;418;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:30:00;+01:00;u2j70w;419;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:40:00;+01:00;u2j70w;414;0;0;0;0;600;0;0;0
819;29-Jan-2019 14:50:00;+01:00;u2j70w;2425;26;21;0;0;579;0;0;0
819;29-Jan-2019 15:00:00;+01:00;u2j70w;368;0;0;0;0;584;16;0;0
819;29-Jan-2019 15:10:00;+01:00;u2j70w;2253;25;24;0;0;572;4;0;0
819;29-Jan-2019 15:20:00;+01:00;u2j70w;2149;12;17;0;0;490;93;0;0
819;29-Jan-2019 15:30:00;+01:00;u2j70w;1040;7;20;0;0;559;21;0;0
819;29-Jan-2019 15:40:00;+01:00;u2j70w;536;1;0;0;0;600;0;0;0
819;29-Jan-2019 15:50:00;+01:00;u2j70w;550;0;0;0;0;560;40;0;0
819;29-Jan-2019 16:00:00;+01:00;u2j70w;408;0;0;0;0;600;0;0;0
819;29-Jan-2019 16:10:00;+01:00;u2j70w;421;0;0;0;0;600;0;0;0
819;29-Jan-2019 16:20:00;+01:00;u2j70w;409;0;0;0;0;600;0;0;0
819;29-Jan-2019 16:30:00;+01:00;u2j70w;401;0;0;0;0;600;0;0;0
819;29-Jan-2019 16:40:00;+01:00;u2j70w;413;0;0;0;0;600;0;0;0
819;29-Jan-2019 16:50:00;+01:00;u2j70y;157;0;0;0;0;222;0;0;0
819;29-Jan-2019 17:40:00;+01:00;u2j70w;604;0;0;0;0;228;0;0;0
819;29-Jan-2019 17:50:00;+01:00;u2j70w;46;0;0;0;0;59;0;0;0
819;29-Jan-2019 18:00:00;+01:00;u2j70w;748;0;0;0;0;353;0;0;0
819;29-Jan-2019 18:10:00;+01:00;u2j70w;423;0;0;0;0;591;9;0;0
819;29-Jan-2019 18:20:00;+01:00;u2j70w;556;0;0;0;0;576;24;0;0
819;29-Jan-2019 18:30:00;+01:00;u2j70w;415;0;0;0;0;600;0;0;0
819;29-Jan-2019 18:40:00;+01:00;u2j70w;454;0;0;0;0;600;0;0;0
819;29-Jan-2019 18:50:00;+01:00;u2j70w;1029;4;20;0;0;580;0;0;0
819;29-Jan-2019 19:00:00;+01:00;u2j70y;737;1;0;0;0;600;0;0;0
819;29-Jan-2019 19:10:00;+01:00;u2j70y;388;0;0;0;0;600;0;0;0
819;29-Jan-2019 19:20:00;+01:00;u2j70y;398;0;0;0;0;600;0;0;0
819;29-Jan-2019 19:30:00;+01:00;u2j70y;406;0;0;0;0;600;0;0;0
819;29-Jan-2019 19:40:00;+01:00;u2j70y;397;0;0;0;0;600;0;0;0
819;29-Jan-2019 19:50:00;+01:00;u2j70y;405;0;0;0;0;600;0;0;0
